,question,cypher,rag_query,initial_query,rag_matches,initial_matches
10,Show top 10 Nobel laureates along with the amount of their prize.,"MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN s.knownName, p.prizeAmount ORDER BY p.prizeAmount DESC LIMIT 10","MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN s.knownName, p.prizeAmount ORDER BY p.prizeAmount DESC LIMIT 10","MATCH (s:Scholar)-[w:WON]->(p:Prize) WITH s, p ORDER BY p.prizeAmount DESC LIMIT 10 RETURN s.fullName, p.prizeAmount",0,0
11,Which laureates died before 1950?,"MATCH (s:Scholar) WHERE s.deathDate < ""1950-01-01"" RETURN s.knownName, s.deathDate","MATCH (s:Scholar) WHERE s.deathDate < ""1950-01-01"" RETURN s.knownName, s.deathDate",No valid query generated,0,0
12,List Nobel laureates who won in Economics.,"MATCH (s:Scholar)-[:WON]->(p:Prize {category: ""economics""}) RETURN DISTINCT s.knownName","MATCH (s:Scholar)-[:WON]->(p:Prize) WHERE toLower(p.category) CONTAINS toLower(""economics"") RETURN DISTINCT s.knownName",MATCH (s1:Scholar)-[r1:WON]->(p1:Prize) WHERE toLower(p1.category) CONTAINS toLower('Economics') RETURN s1.fullName,0,0
13,Which year had the most Nobel Prize awards?,"MATCH (p:Prize) RETURN p.awardYear, COUNT(p) as award_count ORDER BY award_count DESC LIMIT 1","MATCH (p:Prize) RETURN p.awardYear, COUNT(p) AS prize_count ORDER BY prize_count DESC LIMIT 1","MATCH (p:Prize) RETURN p.awardYear AS year, count(*) AS awardCount ORDER BY awardCount DESC LIMIT 1",0,0
14,Find Nobel laureates born after 1980.,"MATCH (s:Scholar) WHERE s.birthDate > ""1980-01-01"" RETURN s.knownName, s.birthDate","MATCH (s:Scholar)-[:WON]->(p:Prize) WHERE s.birthDate > ""1980-01-01"" RETURN s.knownName, s.birthDate",MATCH (s:Scholar)-[r:WON]->(p:Prize) WHERE s.birthDate > '1980' RETURN s.birthDate,0,0
15,Which Nobel laureate received the highest prize amount?,"MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN s.knownName, p.prizeAmount ORDER BY p.prizeAmount DESC LIMIT 1","MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN s.knownName, p.prizeAmount ORDER BY p.prizeAmount DESC LIMIT 1","MATCH (s:Scholar)-[w:WON]->(p:Prize) WITH s, p ORDER BY p.prizeAmount DESC LIMIT 1 RETURN p.prizeAmount",0,0
16,Show prizes awarded in the Physics category.,"MATCH (p:Prize {category: ""physics""}) RETURN p.prize_id, p.awardYear","MATCH (p:Prize) WHERE toLower(p.category) CONTAINS toLower(""Physics"") RETURN p.category","MATCH (p1:Prize) WHERE toLower(p1.category) CONTAINS toLower(""Physics"") RETURN p1.category",0,0
17,Which laureate won the Nobel Peace Prize in 2010?,"MATCH (s:Scholar)-[:WON]->(p:Prize {awardYear: 2010, category: ""peace""}) RETURN s.knownName","MATCH (s:Scholar)-[:WON]->(p:Prize {awardYear: 2010, category: ""peace""}) RETURN s.knownName",MATCH (s:Scholar)-[w:WON]->(p:Prize) WHERE p.category = 'Peace' AND p.awardYear = 2010 RETURN s.fullName,0,0
18,Did Einstein win any prize?,"MATCH (s:Scholar)-[:WON]->(p:Prize) WHERE s.knownName CONTAINS ""Einstein"" RETURN count(p) > 0",MATCH (s:Scholar)-[:WON]->(p:Prize) WHERE lower(s.knownName) CONTAINS lower('Einstein') RETURN count(p) > 0,MATCH (s:Scholar)-[r:WON]->(p:Prize) WHERE toLower(s.fullName) CONTAINS 'einstein' RETURN count(p),0,0
19,Count the number of Nobel laureates.,MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN COUNT(s) AS total_laureates,MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN COUNT(s),MATCH (s:Scholar)-[r:WON]->(p:Prize) RETURN count(DISTINCT s),0,0
20,List Nobel Prizes awarded in 2022.,"MATCH (p:Prize {awardYear: 2022}) RETURN p.category, p.prize_id","MATCH (p:Prize) WHERE p.awardYear = 2022 RETURN p.category, p.prize_id",MATCH (n1:Prize) WHERE n1.awardYear = 2022 RETURN n1,0,0
21,Find laureates who won in Physics and Chemistry.,"MATCH (s:Scholar)-[:WON]->(p1:Prize) WHERE toLower(p1.category) CONTAINS 'physics' WITH s MATCH (s)-[:WON]->(p2:Prize) WHERE toLower(p2.category) CONTAINS 'chemistry' RETURN DISTINCT s.knownName",MATCH (s:Scholar)-[:WON]->(p1:Prize) WHERE toLower(p1.category) CONTAINS 'physics' WITH s MATCH (s)-[:WON]->(p2:Prize) WHERE toLower(p2.category) CONTAINS 'chemistry' RETURN DISTINCT s.fullName,MATCH (s:Scholar)-[w1:WON]->(p1:Prize) WHERE toLower(p1.category) CONTAINS 'physics' MATCH (s)-[w2:WON]->(p2:Prize) WHERE toLower(p2.category) CONTAINS 'chemistry' RETURN s.fullName,0,0
22,Show Nobel Prize categories.,MATCH (p:Prize) RETURN DISTINCT p.category,MATCH (p:Prize) RETURN DISTINCT p.category,MATCH (p:Prize) RETURN DISTINCT p.category,0,0
23,Which laureates won in the year 2003?,"MATCH (s:Scholar)-[:WON]->(p:Prize {awardYear: 2003}) RETURN s.knownName",MATCH (s:Scholar)-[:WON]->(p:Prize {awardYear: 2003}) RETURN s.knownName,MATCH (s1:Scholar)-[r1:WON]->(p1:Prize) WHERE p1.awardYear = 2003 RETURN s1.fullName,0,0
24,Find laureates awarded after 2015.,"MATCH (s:Scholar)-[:WON]->(p:Prize) WHERE p.awardYear > 2015 RETURN s.knownName",MATCH (s:Scholar)-[:WON]->(p:Prize) WHERE p.awardYear > 2015 RETURN s.knownName,MATCH (s1:Scholar)-[r1:WON]->(p1:Prize) WHERE p1.awardYear > 2015 RETURN s1.knownName,0,0
25,List laureates who won a prize for chemistry before 1950.,"MATCH (s:Scholar)-[:WON]->(p:Prize {category: ""chemistry""}) WHERE p.awardYear < 1950 RETURN s.knownName","MATCH (s:Scholar)-[:WON]->(p:Prize {category: ""chemistry""}) WHERE p.awardYear < 1950 RETURN s.knownName",MATCH (s1:Scholar)-[r1:WON]->(p1:Prize) WHERE p1.category = 'chemistry' AND p1.awardYear < 1950 RETURN s1.fullName,0,0
26,In which city was the last chemistry laureate born?,"MATCH (c:City)<-[:BORN_IN]-(s:Scholar)-[:WON]->(p:Prize {category: ""chemistry""}) RETURN c.name ORDER BY p.awardYear DESC LIMIT 1","MATCH (c:City)<-[:BORN_IN]-(s:Scholar)-[:WON]->(p:Prize {category: ""chemistry""}) RETURN c.name ORDER BY p.awardYear DESC LIMIT 1","MATCH (s:Scholar)-[w:WON]->(p:Prize {category: 'chemistry'}) WITH s, p ORDER BY p.awardYear DESC LIMIT 1 MATCH (s)-[b:BORN_IN]->(c:City) RETURN c.name",0,0
27,Which nobel laureates were born and died in the same city?,MATCH (c:City)<-[:BORN_IN]-(s:Scholar)-[:DIED_IN]->(c) RETURN s.knownName,MATCH (c:City)<-[:BORN_IN]-(s:Scholar)-[:DIED_IN]->(c) RETURN s.knownName,MATCH (s:Scholar)-[:BORN_IN]->(c:City) MATCH (s)-[:DIED_IN]->(c) RETURN s.fullName,0,0
28,Which nobel laureates were born and died in the same country?,"MATCH (cc:Country)<-[:IS_CITY_IN]-(c:City)<-[:BORN_IN]-(s:Scholar)-[:DIED_IN]->(c2:City)-[:IS_CITY_IN]->(cc) RETURN s.knownName, cc.name, c.name, c2.name","MATCH (s:Scholar)-[:WON]->(p:Prize), (s)-[:BORN_IN]->(c1:City)-[:IS_CITY_IN]->(country1:Country), (s)-[:DIED_IN]->(c2:City)-[:IS_CITY_IN]->(country2:Country) WHERE country1 = country2 RETURN s.knownName","MATCH (s:Scholar)-[:BORN_IN]->(city1:City)-[:IS_CITY_IN]->(country1:Country), (s)-[:DIED_IN]->(city2:City)-[:IS_CITY_IN]->(country2:Country) WHERE toLower(country1.name) = toLower(country2.name) RETURN s.fullName",0,0
29,Which nobel laureates were born and died on the same continent?,"MATCH (con:Continent)<-[:IS_COUNTRY_IN]-(cc:Country)<-[:IS_CITY_IN]-(c:City)<-[:BORN_IN]-(s:Scholar)-[:DIED_IN]->(c2:City)-[:IS_CITY_IN]->(cc2:Country)-[:IS_COUNTRY_IN]->(con) RETURN s.knownName, con.name, cc.name, c.name, cc2.name, c2.name","MATCH (s:Scholar)-[:BORN_IN]->(c:City)-[:IS_CITY_IN]->(cc:Country)-[:IS_COUNTRY_IN]->(con:Continent), (s)-[:DIED_IN]->(c2:City)-[:IS_CITY_IN]->(cc2:Country)-[:IS_COUNTRY_IN]->(con) RETURN s.knownName","MATCH (s:Scholar)-[:BORN_IN]->(city1:City)-[:IS_CITY_IN]->(country1:Country)-[:IS_COUNTRY_IN]->(continent1:Continent), (s)-[:DIED_IN]->(city2:City)-[:IS_CITY_IN]->(country2:Country)-[:IS_COUNTRY_IN]->(continent2:Continent) WHERE continent1 = continent2 RETURN s.fullName",0,0
30,Which Nobel laureates were born in Germany?,"MATCH (cc:Country)<-[:IS_CITY_IN]-(c:City)<-[:BORN_IN]-(s:Scholar) WHERE cc.name = ""Germany"" RETURN s.knownName","MATCH (cc:Country) WHERE toLower(cc.name) CONTAINS toLower(""Germany"") MATCH (c:City)-[:IS_CITY_IN]->(cc) MATCH (s:Scholar)-[:BORN_IN]->(c) RETURN s.knownName",MATCH (s:Scholar)-[:BORN_IN]->(c:City)-[:IS_CITY_IN]->(co:Country) WHERE toLower(co.name) CONTAINS toLower('Germany') MATCH (s)-[:WON]->(p:Prize) RETURN s.fullName,0,0
31,Which Nobel laureates died in the USA?,"MATCH (cc:Country)<-[:IS_CITY_IN]-(c:City)<-[:DIED_IN]-(s:Scholar) WHERE cc.name = ""USA"" RETURN s.knownName","MATCH (cc:Country)<-[:IS_CITY_IN]-(c:City)<-[:DIED_IN]-(s:Scholar)-[:WON]->(p:Prize) WHERE toLower(cc.name) CONTAINS toLower(""USA"") RETURN s.knownName",MATCH (s:Scholar)-[w:WON]->(p:Prize) WHERE toLower(p.category) CONTAINS 'nobel' MATCH (s)-[d:DIED_IN]->(c:City)-[i:IS_CITY_IN]->(co:Country) WHERE toLower(co.name) CONTAINS 'usa' RETURN s.fullName,0,0
32,Which country has the most Nobel laureates?,"MATCH (cc:Country)<-[:IS_CITY_IN]-(c:City)<-[:BORN_IN]-(s:Scholar) RETURN cc.name, COUNT(s) AS laureate_count ORDER BY laureate_count DESC LIMIT 1","MATCH (cc:Country)<-[:IS_CITY_IN]-(c:City)<-[:BORN_IN]-(s:Scholar) RETURN cc.name, COUNT(s) AS laureate_count ORDER BY laureate_count DESC LIMIT 1","MATCH (s1:Scholar)-[r1:BORN_IN]->(c1:City)-[r2:IS_CITY_IN]->(co1:Country) MATCH (s1)-[r3:WON]->(p1:Prize) WHERE p1.category CONTAINS 'Nobel' WITH co1, count(s1) AS num RETURN co1.name ORDER BY num DESC LIMIT 1",0,0
33,What are the laureates associated with more than one institute?,"MATCH (s:Scholar)-[:AFFILIATED_WITH]->(i:Institution) WITH s, COUNT(i) AS institute_count WHERE institute_count > 1 RETURN s.knownName","MATCH (s:Scholar)-[:AFFILIATED_WITH]->(i:Institution) WITH s, COUNT(i) AS institute_count WHERE institute_count > 1 RETURN s.knownName","MATCH (s:Scholar)-[:AFFILIATED_WITH]->(i:Institution) WITH s, count(i) AS numInstitutions WHERE numInstitutions > 1 RETURN s.id",0,0
34,What is the institution with most Nobel laureates affiliated?,"MATCH (i:Institution)<-[:AFFILIATED_WITH]-(s:Scholar) RETURN i.name, COUNT(s) AS laureate_count ORDER BY laureate_count DESC LIMIT 1","MATCH (i:Institution)<-[:AFFILIATED_WITH]-(s:Scholar)-[:WON]->(p:Prize) RETURN i.name, COUNT(s) AS laureate_count ORDER BY laureate_count DESC LIMIT 1","MATCH (s1:Scholar)-[r1:WON]->(p1:Prize) MATCH (s1)-[r2:AFFILIATED_WITH]->(i1:Institution) WITH i1, count(s1) AS num RETURN i1.name ORDER BY num DESC LIMIT 1",0,0
35,What is the total prize won by scholars affiliated with the institution with most scholars affiliated?,"MATCH (i:Institution)<-[:AFFILIATED_WITH]-(s:Scholar)-[:WON]->(p:Prize) WITH i, SUM(p.prizeAmount) AS total_prize RETURN total_prize ORDER BY total_prize DESC LIMIT 1","MATCH (i:Institution)<-[:AFFILIATED_WITH]-(s:Scholar)-[:WON]->(p:Prize) WITH i, COUNT(s) AS scholar_count, SUM(p.prizeAmount) AS total_prize ORDER BY scholar_count DESC LIMIT 1 RETURN total_prize","MATCH (i:Institution)<-[a:AFFILIATED_WITH]-(s:Scholar) WITH i, count(s) AS scholarCount ORDER BY scholarCount DESC LIMIT 1 MATCH (i)<-[a2:AFFILIATED_WITH]-(s2:Scholar)-[w:WON]->(p:Prize) RETURN sum(p.prizeAmount)",0,0
36,What is the youngest age a scholar won a Nobel Prize?,"MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN p.awardYear - CAST(substring(s.birthDate, 1, 4), ""INT"") AS age ORDER BY age ASC LIMIT 1","MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN p.awardYear - CAST(substring(s.birthDate, 1, 4), ""INT"") AS age ORDER BY age ASC LIMIT 1",No valid query generated,0,0
37,What is the oldest age a scholar won a Nobel Prize?,"MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN p.awardYear - CAST(substring(s.birthDate, 1, 4), ""INT"") AS age ORDER BY age DESC LIMIT 1","MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN max(p.awardYear - CAST(substring(s.birthDate, 1, 4), ""INT""))",No valid query generated,0,0
38,What is the average age a scholar won a Nobel Prize?,"MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN AVG(p.awardYear - CAST(substring(s.birthDate, 1, 4), ""INT"")) AS average_age","MATCH (s:Scholar)-[:WON]->(p:Prize) RETURN AVG(p.awardYear - CAST(substring(s.birthDate, 1, 4), ""INT""))",No valid query generated,0,0
39,Give me top 10 countries by average age of scholars winning Nobel Prizes.,"MATCH (cc:Country)<-[:IS_CITY_IN]-(c:City)<-[:BORN_IN]-(s:Scholar)-[:WON]->(p:Prize) RETURN cc.name, AVG(p.awardYear - CAST(substring(s.birthDate, 1, 4), ""INT"")) AS average_age ORDER BY average_age DESC LIMIT 10","MATCH (cc:Country)<-[:IS_CITY_IN]-(c:City)<-[:BORN_IN]-(s:Scholar)-[:WON]->(p:Prize) RETURN cc.name, AVG(p.awardYear - CAST(substring(s.birthDate, 1, 4), ""INT"")) AS average_age ORDER BY average_age DESC LIMIT 10",No valid query generated,0,0
